stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2012-06-08,35987916,2798411257,77.0,78.7,77.0,77.9,-1.9,12274
2330,2012-06-11,40596219,3250467846,79.9,80.5,79.6,80.4,2.5,11595
2330,2012-06-12,38319000,3037170300,78.5,79.8,78.5,79.4,-1.0,10382
2330,2012-06-13,32284438,2582027840,80.8,80.8,79.5,80.0,0.6,7296
2330,2012-06-14,31161642,2482608247,80.0,80.2,79.1,79.2,-0.8,6853
2330,2012-06-15,89900246,7069334862,79.2,79.5,78.1,78.1,-1.1,10517
2330,2012-06-18,33737589,2717873270,80.0,81.0,80.0,80.8,2.7,11204
2330,2012-06-19,28910805,2320950184,80.9,80.9,80.0,80.5,-0.3,8163
2330,2012-06-20,35326100,2859663098,81.3,81.6,80.5,81.6,1.1,8809
2330,2012-06-21,27063632,2180167468,80.5,81.0,80.3,80.6,-1.0,6980
2330,2012-06-22,31117704,2497597034,80.0,81.0,79.9,80.1,-0.5,7911
2330,2012-06-25,40786634,3248322883,80.8,80.8,79.1,79.6,-0.5,7472
2330,2012-06-26,42391395,3335561563,79.0,79.1,78.3,78.7,-0.9,10670
2330,2012-06-27,32770862,2587645713,78.3,79.5,78.2,79.3,0.6,6339
2330,2012-06-28,33113977,2646449622,80.0,80.3,79.5,79.9,0.6,7637
2330,2012-06-29,50919122,4096917828,79.6,81.3,79.3,81.3,1.4,10327
2330,2012-07-02,64377033,5332945529,81.5,83.7,81.5,83.3,2.0,15754
2330,2012-07-03,60850415,5126362930,83.6,84.9,83.4,84.2,0.9,16823
2330,2012-07-04,44220683,3605551244,82.1,82.1,81.2,81.2,0.0,12038
2330,2012-07-05,28556444,2314621038,82.0,82.0,80.7,81.0,-0.2,7215
2330,2012-07-06,38187671,3078338652,81.0,81.0,80.1,80.9,-0.1,6451
2330,2012-07-09,45060759,3605865720,79.9,80.3,79.6,80.0,-0.9,10215
2330,2012-07-10,37141829,2941486033,79.4,79.9,78.6,79.1,-0.9,10809
2330,2012-07-11,59419785,4631169475,78.1,78.3,77.4,78.1,-1.0,18299
